profile,ICC,procedure,bias,empirical_SD,mean_estimated_SE,coverage_95,type_I_error_under_null,power_under_localized,mean_CI_width
LOCALIZED,0.0,game_cluster_bootstrap,-7.441297029388211e-05,0.027848928525667362,0.028616754671887065,0.96,,1.0,0.1111506564967944
LOCALIZED,0.0,naive_row_bootstrap,-7.441297029388211e-05,0.027848928525667362,0.02881911618110835,0.97,,1.0,0.11206736393435494
LOCALIZED,0.1,game_cluster_bootstrap,-0.0004331779737268466,0.02710249658088768,0.027057871981830586,0.946,,1.0,0.10513326548143148
LOCALIZED,0.1,naive_row_bootstrap,-0.0004331779737268466,0.02710249658088768,0.027367775747824723,0.946,,1.0,0.10634527438658578
LOCALIZED,0.3,game_cluster_bootstrap,0.0005042241798977635,0.02284005913727776,0.023950142913569877,0.947,,1.0,0.09291126436042074
LOCALIZED,0.3,naive_row_bootstrap,0.0005042241798977635,0.02284005913727776,0.02413331618669727,0.952,,1.0,0.0939404936205887
LOCALIZED,0.5,game_cluster_bootstrap,-0.0003400182933983017,0.020042079589963593,0.020244078624209693,0.946,,1.0,0.07873256213131305
LOCALIZED,0.5,naive_row_bootstrap,-0.0003400182933983017,0.020042079589963593,0.02040908222017978,0.945,,1.0,0.07930811070551191
NULL,0.0,game_cluster_bootstrap,0.0006461471688727717,0.029750100381782288,0.02841618930014731,0.926,0.074,,0.11029378794519579
NULL,0.0,naive_row_bootstrap,0.0006461471688727717,0.029750100381782288,0.028793784312274952,0.936,0.064,,0.11187956645349029
NULL,0.1,game_cluster_bootstrap,-0.00040820616735783423,0.0268750924935548,0.027114266418410655,0.948,0.052,,0.10547462632136814
NULL,0.1,naive_row_bootstrap,-0.00040820616735783423,0.0268750924935548,0.027356351709136764,0.951,0.049,,0.10639239938188479
NULL,0.3,game_cluster_bootstrap,0.0004985755752468039,0.025022781159542068,0.023817015122295414,0.925,0.075,,0.0926133089955402
NULL,0.3,naive_row_bootstrap,0.0004985755752468039,0.025022781159542068,0.024119259626579313,0.932,0.068,,0.09357855046961813
NULL,0.5,game_cluster_bootstrap,-0.00043359472508932705,0.020325660902321973,0.02020855304343688,0.94,0.06,,0.07862733247179961
NULL,0.5,naive_row_bootstrap,-0.00043359472508932705,0.020325660902321973,0.02036240278623579,0.947,0.053,,0.07911007916279263
